1,Golf,Volkswagen
2,Passat,Volkswagen
3,T-roc,Volkswagen
4,Arteon,Volkswagen
5,Sharan,Volkswagen
6,Touareg,Volkswagen
7,Polo,Volkswagen
8,up,Volkswagen
9,cc,Volkswagen
10,Candy,Volkswagen
11,Beetle,Volkswagen
12,Fox,Volkswagen
13,Vento,Volkswagen
14,Transporter,Volkswagen
15,Model 3,Tesla
16,Model X,Tesla
17,Model S,Tesla
18,M2,BMW
19,M3,BMW
20,M4,BMW
21,M5,BMW
22,M6,BMW
23,M8,BMW
24,i3,BMW
25,i8,BMW
26,X1 M,BMW
27,X1,BMW
28,X2,BMW
29,X3,BMW
30,X4,BMW
31,X5,BMW
32,X5 M,BMW
33,X6,BMW
34,X6 M,BMW
35,X7,BMW
36,Z3,BMW
37,Z4,BMW
38,Z4 M,BMW
39,Seria 1,BMW
40,Seria 2,BMW
41,Seria 3,BMW
42,Seria 4,BMW
43,Seria 5,BMW
44,Seria 6,BMW
45,Seria 7,BMW
46,Seria 8,BMW
47,1M,BMW
48,3GT,BMW
49,5GT,BMW
50,6GT,BMW
51,146,Alfa Romeo
52,147,Alfa Romeo
53,155,Alfa Romeo
54,164,Alfa Romeo
55,166,Alfa Romeo
56,4C,Alfa Romeo
57,Giulia,Alfa Romeo
58,GT,Alfa Romeo
59,GTV,Alfa Romeo
60,Spider,Alfa Romeo
61,145,Alfa Romeo
62,Aerox,Yamaha
63,F1,Yamaha
64,FJ,Yamaha
65,FJR,Yamaha
66,FZR,Yamaha
67,FZS,Yamaha
68,R1,Yamaha
69,R6,Yamaha
70,R125,Yamaha
71,Duke 125,KTM
72,Caravan,Dodge
73,Caliber,Dodge
74,RAM,Dodge
75,308,Ferrari
76,360,Ferrari
77,FF,Ferrari
78,California,Ferrari
79,Roma,Ferrari
80,GTC4Lusso,Ferrari
81,488,Ferrari
82,A5,Audi
83,A6,Audi
84,A7,Audi
85,A8,Audi
86,Q3,Audi
87,Q5,Audi
88,Q7,Audi
89,Q8,Audi
90,R8,Audi
91,RS Q8,Audi
92,TT RS,Audi
93,V8,Audi
94,Coupe,Fiat
95,Doblo,Fiat
96,Ducato,Fiat
97,Grande Punto,Fiat
98,Multipla,Fiat
99,Stilo,Fiat
100,Tipo,Fiat
101,CJ,Jeep
102,Compass,Jeep
103,Patriot,Jeep
104,Wrangler,Jeep
105,Juke,Nissan
106,Patrol,Nissan
107,Pickup,Nissan
108,X-Trial,Nissan
109,Terrano,Nissan
